"Date","Price","Open","High","Low","Vol.","Change %"
"06/03/2025","1,430.00","1,430.00","1,430.00","1,430.00","","0.56%"
"06/02/2025","1,422.00","1,422.00","1,422.00","1,422.00","","0.28%"
"05/30/2025","1,418.00","1,418.00","1,418.00","1,418.00","","4.80%"
"05/29/2025","1,353.00","1,353.00","1,353.00","1,353.00","","3.84%"
"05/28/2025","1,303.00","1,303.00","1,303.00","1,303.00","","0.54%"
"05/27/2025","1,296.00","1,296.00","1,296.00","1,296.00","","-3.28%"
"05/23/2025","1,340.00","1,340.00","1,340.00","1,340.00","","-0.07%"
"05/22/2025","1,341.00","1,341.00","1,341.00","1,341.00","","0.30%"
"05/21/2025","1,337.00","1,337.00","1,337.00","1,337.00","","-0.22%"
"05/20/2025","1,340.00","1,340.00","1,340.00","1,340.00","","-0.52%"
"05/19/2025","1,347.00","1,347.00","1,347.00","1,347.00","","-2.95%"
"05/16/2025","1,388.00","1,388.00","1,388.00","1,388.00","","6.36%"
"05/15/2025","1,305.00","1,305.00","1,305.00","1,305.00","","3.00%"
"05/14/2025","1,267.00","1,267.00","1,267.00","1,267.00","","-1.02%"
"05/13/2025","1,280.00","1,280.00","1,280.00","1,280.00","","-1.84%"
"05/12/2025","1,304.00","1,304.00","1,304.00","1,304.00","","0.38%"
"05/09/2025","1,299.00","1,299.00","1,299.00","1,299.00","","-1.29%"
"05/08/2025","1,316.00","1,316.00","1,316.00","1,316.00","","-4.22%"
"05/07/2025","1,374.00","1,374.00","1,374.00","1,374.00","","-2.28%"
"05/06/2025","1,406.00","1,406.00","1,406.00","1,406.00","","-1.06%"
"05/02/2025","1,421.00","1,421.00","1,421.00","1,421.00","","0.71%"
"05/01/2025","1,411.00","1,411.00","1,411.00","1,411.00","","1.80%"
"04/30/2025","1,386.00","1,386.00","1,386.00","1,386.00","","-0.86%"
"04/29/2025","1,398.00","1,398.00","1,398.00","1,398.00","","-0.36%"
"04/28/2025","1,403.00","1,403.00","1,403.00","1,403.00","","2.18%"
"04/25/2025","1,373.00","1,373.00","1,373.00","1,373.00","","1.48%"
"04/24/2025","1,353.00","1,353.00","1,353.00","1,353.00","","4.08%"
"04/23/2025","1,300.00","1,300.00","1,300.00","1,300.00","","3.09%"
"04/22/2025","1,261.00","1,261.00","1,261.00","1,261.00","","0.00%"
"04/17/2025","1,261.00","1,261.00","1,261.00","1,261.00","","1.61%"
"04/16/2025","1,241.00","1,241.00","1,241.00","1,241.00","","-1.74%"
"04/15/2025","1,263.00","1,263.00","1,263.00","1,263.00","","-1.48%"
"04/14/2025","1,282.00","1,282.00","1,282.00","1,282.00","","0.63%"
"04/11/2025","1,274.00","1,274.00","1,274.00","1,274.00","","0.39%"
"04/10/2025","1,269.00","1,269.00","1,269.00","1,269.00","","0.79%"
"04/09/2025","1,259.00","1,259.00","1,259.00","1,259.00","","-6.18%"
"04/08/2025","1,342.00","1,342.00","1,342.00","1,342.00","","-4.21%"
"04/07/2025","1,401.00","1,401.00","1,401.00","1,401.00","","-5.91%"
"04/04/2025","1,489.00","1,489.00","1,489.00","1,489.00","","-3.31%"
"04/03/2025","1,540.00","1,540.00","1,540.00","1,540.00","","-2.72%"
"04/02/2025","1,583.00","1,583.00","1,583.00","1,583.00","","-0.25%"
"04/01/2025","1,587.00","1,587.00","1,587.00","1,587.00","","-0.69%"
"03/31/2025","1,598.00","1,598.00","1,598.00","1,598.00","","-0.25%"
"03/28/2025","1,602.00","1,602.00","1,602.00","1,602.00","","-1.17%"
"03/27/2025","1,621.00","1,621.00","1,621.00","1,621.00","","-0.80%"
"03/26/2025","1,634.00","1,634.00","1,634.00","1,634.00","","-0.49%"
"03/25/2025","1,642.00","1,642.00","1,642.00","1,642.00","","-0.61%"
"03/24/2025","1,652.00","1,652.00","1,652.00","1,652.00","","0.55%"
"03/21/2025","1,643.00","1,643.00","1,643.00","1,643.00","","0.49%"
"03/20/2025","1,635.00","1,635.00","1,635.00","1,635.00","","-0.12%"
"03/19/2025","1,637.00","1,637.00","1,637.00","1,637.00","","-0.79%"
"03/18/2025","1,650.00","1,650.00","1,650.00","1,650.00","","-0.48%"
"03/17/2025","1,658.00","1,658.00","1,658.00","1,658.00","","-0.66%"
"03/14/2025","1,669.00","1,669.00","1,669.00","1,669.00","","1.15%"
"03/13/2025","1,650.00","1,650.00","1,650.00","1,650.00","","5.84%"
"03/12/2025","1,559.00","1,559.00","1,559.00","1,559.00","","8.57%"
"03/11/2025","1,436.00","1,436.00","1,436.00","1,436.00","","0.84%"
"03/10/2025","1,424.00","1,424.00","1,424.00","1,424.00","","1.71%"
"03/07/2025","1,400.00","1,400.00","1,400.00","1,400.00","","8.86%"
"03/06/2025","1,286.00","1,286.00","1,286.00","1,286.00","","4.72%"
"03/05/2025","1,228.00","1,228.00","1,228.00","1,228.00","","-2.69%"
"03/04/2025","1,262.00","1,262.00","1,262.00","1,262.00","","-1.10%"
"03/03/2025","1,276.00","1,276.00","1,276.00","1,276.00","","3.82%"
"02/28/2025","1,229.00","1,229.00","1,229.00","1,229.00","","6.04%"
"02/27/2025","1,159.00","1,159.00","1,159.00","1,159.00","","4.23%"
"02/26/2025","1,112.00","1,112.00","1,112.00","1,112.00","","7.03%"
"02/25/2025","1,039.00","1,039.00","1,039.00","1,039.00","","3.69%"
"02/24/2025","1,002.00","1,002.00","1,002.00","1,002.00","","2.14%"
"02/21/2025","981.00","981.00","981.00","981.00","","4.25%"
"02/20/2025","941.00","941.00","941.00","941.00","","4.09%"
"02/19/2025","904.00","904.00","904.00","904.00","","7.49%"
"02/18/2025","841.00","841.00","841.00","841.00","","4.34%"
"02/17/2025","806.00","806.00","806.00","806.00","","1.77%"
"02/14/2025","792.00","792.00","792.00","792.00","","1.54%"
"02/13/2025","780.00","780.00","780.00","780.00","","0.52%"
"02/12/2025","776.00","776.00","776.00","776.00","","-3.12%"
"02/11/2025","801.00","801.00","801.00","801.00","","-0.99%"
"02/10/2025","809.00","809.00","809.00","809.00","","-0.74%"
"02/07/2025","815.00","815.00","815.00","815.00","","2.77%"
"02/06/2025","793.00","793.00","793.00","793.00","","2.85%"
"02/05/2025","771.00","771.00","771.00","771.00","","2.39%"
"02/04/2025","753.00","753.00","753.00","753.00","","2.03%"
"02/03/2025","738.00","738.00","738.00","738.00","","0.41%"
"01/31/2025","735.00","735.00","735.00","735.00","","2.80%"
"01/30/2025","715.00","715.00","715.00","715.00","","-1.52%"
"01/29/2025","726.00","726.00","726.00","726.00","","-2.68%"
"01/28/2025","746.00","746.00","746.00","746.00","","-1.97%"
"01/27/2025","761.00","761.00","761.00","761.00","","-2.19%"
"01/24/2025","778.00","778.00","778.00","778.00","","-5.58%"
"01/23/2025","824.00","824.00","824.00","824.00","","-7.73%"
"01/22/2025","893.00","893.00","893.00","893.00","","-3.77%"
"01/21/2025","928.00","928.00","928.00","928.00","","-3.03%"
"01/20/2025","957.00","957.00","957.00","957.00","","-3.04%"
"01/17/2025","987.00","987.00","987.00","987.00","","-3.52%"
"01/16/2025","1,023.00","1,023.00","1,023.00","1,023.00","","-3.76%"
"01/15/2025","1,063.00","1,063.00","1,063.00","1,063.00","","-1.57%"
"01/14/2025","1,080.00","1,080.00","1,080.00","1,080.00","","-1.19%"
"01/13/2025","1,093.00","1,093.00","1,093.00","1,093.00","","4.29%"
"01/10/2025","1,048.00","1,048.00","1,048.00","1,048.00","","8.15%"
"01/09/2025","969.00","969.00","969.00","969.00","","0.31%"
"01/08/2025","966.00","966.00","966.00","966.00","","-4.83%"
